iter	RMSE
190	0.7196240401
191	0.7194680933
192	0.7194247578
193	0.7193298521
194	0.7192132423
195	0.7190460801
196	0.7188146761
197	0.7186628559
198	0.718599737
199	0.7184208864
200	0.7183963187
201	0.718345004
202	0.7182522391
203	0.7182158874
204	0.7180504731
205	0.7179598345
206	0.7179579369
207	0.7178614657
208	0.7178109066
209	0.7176208459
210	0.7175933547
211	0.7174033363
212	0.7173075538
213	0.7172893826
214	0.7172870204
215	0.7171036334
216	0.7169914412
217	0.7168330709
218	0.7166505309
219	0.7164405955
220	0.7162105958
221	0.7160527986
222	0.7158650395
223	0.7158649414
224	0.7157170375
225	0.7154841069
226	0.7152703281
227	0.7151976975
228	0.7151182301
229	0.7150595617
230	0.7150565539
231	0.7149039767
232	0.7148693638
233	0.7148198785
234	0.7146238897
235	0.7145473077
236	0.7144765306
237	0.7144099717
238	0.7144098859
239	0.7142553717
240	0.7142113882
241	0.7140904616
242	0.7140872509
243	0.713998081
244	0.7138981024
245	0.7137710387
246	0.7136437589
247	0.713511966
248	0.7134025495
249	0.7133730361
250	0.7132217003
251	0.7130132471
252	0.7130057062
253	0.7130042757
254	0.7128251368
255	0.7126624378
256	0.7124181777
257	0.7123101228
258	0.712279674
259	0.7122038203
260	0.7121707141
261	0.712071613
262	0.7120034644
263	0.7119950598
264	0.7119928564
265	0.7119867559
266	0.7119779117
267	0.711773333
268	0.7117718786
269	0.7115986002
270	0.7114308534
271	0.7113601459
272	0.7111801731
273	0.7110420863
274	0.7110092132
275	0.7110022122
276	0.7109716953
277	0.7109215467
278	0.7108743271
279	0.7108666054
280	0.7108372662
281	0.7107832938
282	0.7107812855
283	0.7106314697
284	0.7106275587
285	0.7105276971
286	0.7104990161
287	0.7104314272
288	0.7103380589
289	0.7103296157
290	0.7101791986
291	0.7101460611
292	0.71014479
293	0.7100444869
294	0.7099538427
295	0.7098337331
296	0.7097949311
297	0.7096494264
298	0.709617809
299	0.7095053536
300	0.7094492055
301	0.7092860878
302	0.7092379532
303	0.7091131303
304	0.7090495437
305	0.7089235681
306	0.708921031
307	0.7088813708
308	0.7088648189
309	0.7087442476
310	0.7087028032
311	0.7086743836
312	0.7085738019
313	0.7085407009
314	0.7084547111
315	0.7083767789
316	0.7081509419
317	0.7081205786
318	0.7080403007
319	0.7078569359
320	0.7077250613
321	0.7076740699
322	0.7076417144
323	0.7074338221
324	0.7072589981
325	0.7072237941
326	0.7070627612
327	0.7069348366
328	0.7068314728
329	0.7067538528
330	0.7066822773
331	0.7066044509
332	0.7064889047
333	0.7064147559
334	0.7063108326
335	0.706204392
336	0.7061630248
337	0.7060165033
338	0.7058858199
339	0.705809789
340	0.7057476364
341	0.705580257
342	0.7054637011
343	0.7053366099
344	0.7052849993
345	0.7052558962
346	0.7051359633
347	0.7050330875
348	0.7049643332
349	0.7049003121
350	0.7047873277
351	0.7045909473
352	0.7045444652
353	0.7044129468
354	0.7042135862
355	0.7041873421
356	0.7040816811
357	0.704034095
358	0.7039776894
359	0.703943022
360	0.7038104832
361	0.7037769598
362	0.7036871443
363	0.7035334208
364	0.7035070732
365	0.7034098084
366	0.7033349573
367	0.7032237858
368	0.7031229343
369	0.7030133375
370	0.702859915
371	0.702716777
372	0.7026896698
373	0.702630609
374	0.7025317816
375	0.7024191333
376	0.7023438709
377	0.7022763965
378	0.702133055
379	0.7020521221
380	0.701919623
381	0.7017962333
382	0.701721398
383	0.7016905485
384	0.7016795453
385	0.7016472589
386	0.7016005127
387	0.701575564
388	0.7014760009
389	0.7013483999
390	0.7012435749
391	0.7012099301
392	0.7011121229
393	0.7010564998
394	0.7009566539
395	0.7009048638
396	0.700846418
397	0.7007042222
398	0.7006453396
399	0.7006339334
400	0.7005920321
401	0.7004833648
402	0.7004518692
403	0.7004158978
404	0.7003638863
405	0.7003466463
406	0.7002447719
407	0.700142306
408	0.7000595009
409	0.7000163275
410	0.6999758362
411	0.6998397872
412	0.6997879336
413	0.6996928143
414	0.6996404271
415	0.6994789024
416	0.6994320779
417	0.6993788181
418	0.6993543755
419	0.6992654791
420	0.6992007095
421	0.6990828842
422	0.6989660344
423	0.6989192695
424	0.6986991443
425	0.6986397053
426	0.6986141055
427	0.6985866438
428	0.6985794264
429	0.6985520051
430	0.6984888586
431	0.69833388
432	0.6981949872
433	0.6980758477
434	0.6980111593
435	0.6979191193
436	0.6977791849
437	0.6977352492
438	0.6976897705
439	0.6975360417
440	0.6974837465
441	0.697409196
442	0.6973671366
443	0.697291914
444	0.6972664502
445	0.697154706
446	0.6970736422
447	0.6970420724
448	0.6969997249
449	0.6968988379
450	0.6968170654
451	0.6967115252
452	0.6966506492
453	0.6965598029
454	0.6965506901
455	0.6965335215
456	0.6965007267
457	0.6963181176
458	0.6962817022
459	0.6961454747
460	0.6960960229
461	0.6960697996
462	0.6959498643
463	0.6958357918
464	0.6957288449
465	0.6956602431
466	0.6955989796
467	0.6954394068
468	0.6953714254
469	0.6952812419
470	0.6952494686
471	0.6951860795
472	0.6951132092
473	0.6950377128
474	0.6949945071
475	0.6949698828
476	0.6949394372
477	0.6947959158
478	0.6947073926
479	0.6945926336
480	0.6945687934
481	0.6944766861
482	0.6944091715
483	0.6943643816
484	0.6942943153
485	0.694259474
486	0.6941591438
487	0.6940322226
488	0.6940006941
489	0.6939471043
490	0.6938316991
491	0.6937059091
492	0.6936481308
493	0.693553066
494	0.6934814592
495	0.6933966092
496	0.6933211209
497	0.6932993665
498	0.6932608509
499	0.6932218339
500	0.6931770437
501	0.6931004619
502	0.6930444295
503	0.693011682
504	0.692961759
505	0.6928730788
506	0.6927688937
507	0.6926839272
508	0.6925933567
509	0.6925855336
510	0.6924922686
511	0.6923925021
512	0.6923200955
513	0.692299223
514	0.6922510761
515	0.6921195373
516	0.6920601661
517	0.6918702216
518	0.6918486661
519	0.6918055814
520	0.6917114244
521	0.6916343332
522	0.6914522359
523	0.6913549619
524	0.6911744247
525	0.6910565417
526	0.6908891804
527	0.69081765
528	0.6907524125
529	0.6906997872
530	0.6906401983
531	0.6905821992
532	0.6905104361
