iter	Passed	Remaining
476	726	796
477	728	795
478	729	793
479	731	792
480	732	790
481	733	788
482	735	786
483	736	785
484	737	783
485	739	781
486	740	780
487	743	780
488	744	778
489	746	777
490	748	775
491	749	773
492	750	772
493	752	770
494	753	768
495	755	767
496	756	765
497	757	763
498	759	762
499	760	760
500	762	759
501	764	758
502	766	757
503	767	755
504	770	755
505	772	754
506	775	754
507	777	753
508	779	751
509	781	750
510	782	748
511	783	746
512	785	745
513	786	743
514	787	741
515	788	740
516	790	738
517	791	736
518	794	736
519	795	734
520	797	733
521	799	731
522	800	730
523	801	728
524	803	726
525	804	725
526	807	724
527	808	722
528	809	721
529	811	719
530	812	717
531	814	716
532	815	714
533	816	712
534	818	711
535	819	709
536	821	708
537	823	706
538	824	705
539	826	704
540	828	703
541	830	701
542	831	699
543	832	697
544	836	697
545	838	697
546	839	695
547	841	694
548	842	692
549	844	691
550	846	689
551	847	688
552	849	686
553	850	684
554	852	683
555	853	681
556	855	680
557	856	678
558	858	676
559	859	675
560	860	673
561	861	671
562	863	670
563	864	668
564	866	666
565	867	665
566	868	663
567	870	661
568	871	659
569	872	658
570	873	656
571	874	654
572	876	653
573	878	651
574	879	650
575	880	648
576	882	646
577	883	645
578	884	643
579	886	641
580	887	640
581	889	638
582	892	638
583	895	637
584	897	637
585	901	637
586	903	636
587	906	634
588	907	633
589	909	631
590	910	630
591	911	628
592	913	626
593	914	625
594	917	624
595	919	622
596	920	621
597	921	619
598	923	618
599	924	616
600	926	614
601	928	613
602	929	611
603	931	610
604	933	609
605	934	607
606	936	606
607	937	604
608	939	602
609	940	601
610	942	599
611	943	598
612	944	596
613	946	594
614	948	593
615	949	592
616	951	590
617	952	588
618	955	587
619	956	586
620	958	584
621	959	583
622	961	581
623	962	580
624	964	578
625	965	576
626	967	575
627	968	573
628	970	572
629	971	570
630	972	568
631	974	567
632	975	565
633	977	564
634	978	562
635	980	560
636	981	559
637	982	557
638	984	556
639	985	554
640	987	552
641	988	551
642	989	549
643	991	547
644	992	546
645	994	544
646	995	543
647	997	541
648	998	540
649	1000	538
650	1002	537
651	1004	536
652	1006	534
653	1007	532
654	1008	531
655	1010	529
656	1012	528
657	1014	527
658	1015	525
659	1016	523
660	1018	522
661	1020	521
662	1021	519
663	1023	517
664	1024	516
665	1026	514
666	1028	513
667	1031	512
668	1033	511
669	1034	509
670	1036	508
671	1038	506
672	1039	504
673	1040	503
674	1042	501
675	1044	500
676	1045	498
677	1046	497
678	1048	495
679	1050	494
680	1052	492
681	1053	491
682	1055	489
683	1057	488
684	1058	486
685	1060	485
686	1061	483
687	1064	482
688	1065	480
689	1067	479
690	1068	477
691	1070	476
692	1071	474
693	1073	473
694	1074	471
695	1077	470
696	1079	469
697	1080	467
698	1082	466
699	1083	464
700	1085	462
701	1086	461
702	1088	459
703	1091	458
704	1093	457
705	1095	456
706	1097	454
707	1099	453
708	1100	451
709	1101	450
710	1103	448
711	1104	446
712	1105	445
713	1107	443
714	1108	441
715	1110	440
716	1111	438
717	1112	436
718	1114	435
719	1115	433
720	1116	432
721	1118	430
722	1119	428
723	1121	427
724	1123	426
725	1126	425
726	1128	423
727	1130	422
728	1132	420
729	1134	419
730	1136	418
731	1138	416
732	1141	415
733	1143	414
734	1145	412
735	1146	411
736	1148	409
737	1149	408
738	1151	406
739	1152	404
740	1153	403
741	1155	401
742	1157	400
743	1158	398
744	1159	397
745	1161	395
746	1162	393
747	1164	392
748	1165	390
749	1167	389
750	1168	387
751	1169	385
752	1171	384
753	1172	382
754	1173	380
755	1174	379
756	1176	377
757	1177	375
758	1178	374
759	1180	372
760	1181	371
761	1183	369
762	1184	367
763	1185	366
764	1187	364
765	1188	363
766	1189	361
767	1191	359
768	1192	358
769	1193	356
770	1195	354
771	1196	353
772	1197	351
773	1199	350
774	1200	348
775	1202	347
776	1203	345
777	1205	343
778	1206	342
779	1207	340
780	1208	339
781	1210	337
782	1211	335
783	1213	334
784	1214	332
785	1215	330
786	1217	329
787	1218	327
788	1219	326
789	1221	324
790	1222	323
791	1223	321
792	1225	319
793	1226	318
794	1227	316
795	1229	315
796	1231	313
797	1232	312
798	1234	310
799	1235	308
800	1236	307
801	1238	305
802	1239	304
803	1241	302
804	1242	301
805	1244	299
806	1245	297
807	1247	296
808	1248	294
809	1250	293
810	1252	291
811	1253	290
812	1254	288
813	1255	286
814	1256	285
815	1258	283
816	1259	282
817	1261	280
818	1262	279
819	1264	277
820	1265	275
821	1266	274
822	1268	272
823	1269	271
824	1270	269
825	1272	268
826	1273	266
827	1275	264
828	1276	263
829	1277	261
830	1279	260
831	1280	258
832	1281	256
833	1283	255
834	1284	253
835	1285	252
836	1286	250
837	1288	249
838	1289	247
839	1291	245
840	1292	244
841	1293	242
842	1295	241
843	1296	239
844	1297	238
845	1299	236
846	1300	234
847	1301	233
848	1303	231
849	1304	230
850	1306	228
851	1307	227
852	1309	225
853	1310	224
854	1311	222
855	1312	220
856	1314	219
857	1315	217
858	1316	216
859	1318	214
860	1319	213
861	1320	211
862	1322	209
863	1323	208
864	1324	206
865	1326	205
866	1327	203
867	1328	202
868	1330	200
869	1331	198
870	1332	197
871	1334	195
872	1335	194
873	1336	192
874	1338	191
875	1339	189
876	1340	188
877	1341	186
878	1343	184
879	1344	183
880	1345	181
881	1346	180
882	1348	178
883	1349	177
884	1351	175
885	1352	174
886	1353	172
887	1355	170
888	1357	169
889	1358	167
890	1360	166
891	1361	164
892	1362	163
893	1364	161
894	1365	160
895	1366	158
896	1367	157
897	1369	155
898	1370	153
899	1371	152
900	1373	150
901	1374	149
902	1376	147
903	1377	146
904	1378	144
905	1380	143
906	1381	141
907	1382	140
908	1384	138
909	1385	137
910	1386	135
911	1387	133
912	1389	132
913	1390	130
914	1391	129
915	1392	127
916	1393	126
917	1395	124
918	1396	123
919	1397	121
920	1399	120
921	1400	118
922	1402	116
923	1403	115
924	1404	113
925	1406	112
926	1407	110
927	1409	109
928	1410	107
929	1411	106
930	1413	104
931	1414	103
932	1416	101
933	1417	100
934	1419	98
935	1421	97
936	1423	95
937	1424	94
938	1425	92
939	1428	91
940	1429	89
941	1430	88
942	1432	86
943	1434	85
944	1436	83
945	1438	82
946	1439	80
947	1440	79
948	1442	77
949	1444	76
950	1445	74
951	1446	72
952	1448	71
953	1449	69
954	1451	68
955	1453	66
956	1454	65
957	1456	63
958	1457	62
959	1459	60
960	1460	59
961	1461	57
962	1463	56
963	1464	54
964	1465	53
965	1467	51
966	1468	50
967	1470	48
968	1471	47
969	1473	45
970	1474	44
971	1476	42
972	1477	40
973	1478	39
974	1480	37
975	1481	36
976	1483	34
977	1484	33
978	1485	31
979	1487	30
980	1488	28
981	1489	27
982	1490	25
983	1493	24
984	1494	22
985	1496	21
986	1497	19
987	1498	18
988	1500	16
989	1501	15
990	1504	13
991	1505	12
992	1506	10
993	1508	9
994	1509	7
995	1511	6
996	1512	4
997	1514	3
998	1515	1
999	1517	0
