iter	Accuracy	Logloss
88	0.8033932136	0.5807520944
89	0.8013972056	0.5801550817
90	0.8013972056	0.5791663321
91	0.7984031936	0.5787224814
92	0.8053892216	0.577165919
93	0.8043912176	0.576031315
94	0.8073852295	0.5750797906
95	0.8093812375	0.5741696025
96	0.8093812375	0.5732506994
97	0.8143712575	0.5716667283
98	0.8163672655	0.5706978424
99	0.8163672655	0.5701812942
100	0.8163672655	0.5686508215
101	0.8153692615	0.5679291005
102	0.8153692615	0.5669741959
103	0.8153692615	0.5657436398
104	0.8173652695	0.5649202203
105	0.8193612774	0.5638057127
106	0.8183632735	0.5629274578
107	0.8163672655	0.5618016929
108	0.8173652695	0.5608659435
109	0.8173652695	0.5608337312
110	0.8183632735	0.5601225896
111	0.8193612774	0.5584926456
112	0.8193612774	0.5579898244
113	0.8223552894	0.5569290497
114	0.8213572854	0.5562325141
115	0.8203592814	0.5554762499
116	0.8213572854	0.5542154497
117	0.8213572854	0.5531892284
118	0.8223552894	0.5521820109
119	0.8253493014	0.5509293758
120	0.8243512974	0.5502023646
121	0.8263473054	0.5492363087
122	0.8283433134	0.54843987
123	0.8303393214	0.5468453337
124	0.8303393214	0.5458508361
125	0.8313373253	0.5447731665
126	0.8323353293	0.5447706677
127	0.8313373253	0.5433855739
128	0.8333333333	0.5428864155
129	0.8333333333	0.5420390933
130	0.8343313373	0.5410136736
131	0.8333333333	0.5399591421
132	0.8343313373	0.5392628379
133	0.8333333333	0.5387647402
134	0.8363273453	0.5380876081
135	0.8383233533	0.537064836
136	0.8403193613	0.5366003318
137	0.8423153693	0.5357473144
138	0.8433133733	0.5348950707
139	0.8473053892	0.5341482514
140	0.8493013972	0.5332936841
141	0.8483033932	0.5325973462
142	0.8483033932	0.5313764623
143	0.8502994012	0.5304152735
144	0.8512974052	0.5294429014
145	0.8512974052	0.5290926615
146	0.8512974052	0.5283511147
147	0.8512974052	0.5272335041
148	0.8493013972	0.5267936219
149	0.8493013972	0.5255533113
150	0.8493013972	0.5247041937
151	0.8493013972	0.5241461067
152	0.8502994012	0.5234293708
153	0.8512974052	0.5224715148
154	0.8512974052	0.5221722172
155	0.8512974052	0.5215858309
156	0.8542914172	0.5208629149
157	0.8572854291	0.520411817
158	0.8562874251	0.5202926406
159	0.8562874251	0.5198741808
160	0.8572854291	0.5193889677
161	0.8572854291	0.5185709429
162	0.8592814371	0.5181391097
163	0.8612774451	0.5174179958
164	0.8612774451	0.5169912502
165	0.8632734531	0.5161113087
166	0.8642714571	0.5154397918
167	0.8642714571	0.5146528305
168	0.8652694611	0.5144013614
169	0.8652694611	0.5136294411
170	0.8652694611	0.5126179588
171	0.8662674651	0.5121492781
172	0.8672654691	0.5113834705
173	0.8672654691	0.5105444187
174	0.8672654691	0.5102280351
175	0.8652694611	0.5098355919
176	0.8672654691	0.5092323372
177	0.8682634731	0.5085578813
178	0.8682634731	0.5078573764
179	0.869261477	0.5076381581
180	0.8682634731	0.5068343139
181	0.869261477	0.5060748635
182	0.872255489	0.5055901722
